"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.52449631013,-2.42265559457108,0.0600112531782737,-40.3700217253282,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.90418828352,3.20201707573755,0.0724335049611771,44.2062975891304,0,0,"TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.33590298369,-2.31367426077977,0.0575629191382673,-40.193831296538,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.8268576805,-2.05956729778773,0.0538523374857277,-38.2447149733022,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.85719104464,-1.88795492473538,0.0431796520569281,-43.7232546998363,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.05400460932,-1.64972729605198,0.0439450536721959,-37.5406822428292,0,0,"FLNB","2317","filamin B"
"ENSG00000164251",2348.79672326429,3.34457324545858,0.0690838654950277,48.4132325470309,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.67354749235,2.3923529521569,0.0617213702528385,38.7605288469253,0,0,"SOX4","6659","SRY-box 4"
"ENSG00000124762",28106.2707747349,1.83232329229379,0.0389083974015709,47.0932604440761,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43718.2343050003,-1.84398160854646,0.0419222461781527,-43.9857540244928,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.14828781268,2.26614550723465,0.0552806139508442,40.9934938358267,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.35989012,2.2625908254909,0.0552311932089209,40.9658146788949,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.15218991922,-3.1959944849244,0.0758017987881539,-42.1625150856428,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.41922599331,2.07982854381125,0.054336449455952,38.2768577011509,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4419.9837552199,-1.93835371512884,0.0505885262302221,-38.3160740106883,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9914247293,2.0374261828323,0.0463086657277542,43.9966505364287,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.82214107652,1.95061452194856,0.0436055975717668,44.7331221350243,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.77188757977,2.52378503386645,0.0654064642882615,38.5861712803117,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.35857730712,3.85831801384557,0.0865292602485652,44.5897492104071,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.55297343898,-2.40662237199027,0.0581453096154877,-41.3897937409767,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.80026687312,-2.92412400042174,0.0696345765442655,-41.992414480512,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8244.88946538946,-2.14228155401087,0.0404517542272216,-52.9589283564184,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.12098182108,2.53459278488091,0.0671138347761366,37.7655783391791,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.1587876965,-1.33886673329923,0.0358671223473822,-37.3285238869169,5.65669667930653e-305,3.40438861816265e-302,"ENO1","2023","enolase 1"
"ENSG00000181104",14922.5835058776,1.66822420525788,0.0447707016220682,37.2615157863774,6.89721406978052e-304,3.9849344009564e-301,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3975271112,1.80539496918942,0.0488740524227529,36.9397436818424,1.06419130865651e-298,5.9119920239364e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.584845162,2.02770317809893,0.0550583187256708,36.8282799952901,6.51349122396887e-297,3.48447656440764e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.07505960625,2.54500155708559,0.069374244598153,36.6851065813745,1.26186528087591e-294,6.50942218463273e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.75824467787,-2.14802224756093,0.0589176093646846,-36.4580686610218,5.12521122435448e-291,2.55270865257159e-288,"MGLL","11343","monoglyceride lipase"
"ENSG00000104081",804.849403733175,4.4342036797043,0.121647247871399,36.4513275663416,6.55416647184875e-291,3.15561268397944e-288,"BMF","90427","Bcl2 modifying factor"
"ENSG00000166073",2268.75975690384,-2.2066078940817,0.0608341351120358,-36.2725284088921,4.38740337646631e-288,2.04424691515095e-285,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000165434",1243.16016725932,2.51730230728796,0.0694136849563504,36.2652164176404,5.72095954339697e-288,2.58229811390081e-285,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000091527",2814.10342833192,-1.81017052718095,0.0499864594407458,-36.2132174879626,3.7711675480891e-287,1.65062860801815e-284,"CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.53856442324,1.93507725437956,0.0535484496896276,36.1369426303743,5.96646077778671e-286,2.53469292571621e-283,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000101825",1024.98239212254,3.28772679826996,0.0909864864405245,36.134231872104,6.58097993740042e-286,2.68401107735418e-283,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000117724",1324.13994171709,-2.82505009171669,0.0781830783393704,-36.13377922335,6.68958728778388e-286,2.68401107735418e-283,"CENPF","1063","centromere protein F"
"ENSG00000198959",5110.75638273586,-1.74618066550085,0.048801015509157,-35.781646084254,2.13127804701584e-280,8.32004867867481e-278,"TGM2","7052","transglutaminase 2"
"ENSG00000164938",1395.93225230206,2.31784599761805,0.0656259945497142,35.3190227976232,2.99825841339399e-273,1.13965380323849e-270,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.6938331123,-2.30508884474761,0.065406915751076,-35.2422800903847,4.50483349146036e-272,1.66840551155522e-269,"FERMT2","10979","fermitin family member 2"
"ENSG00000143799",1043.82186542672,-2.61741236583068,0.0743852492608083,-35.1872500507938,3.1330154413553e-271,1.1313318758734e-268,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.31613453829,2.83750030985011,0.0806712702046966,35.1736163649114,5.06331713332277e-271,1.78376957740766e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000110002",899.516890149187,4.43914090912118,0.126328606232705,35.1396333855217,1.67385383412633e-270,5.75646304288589e-268,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.72334400486,-3.01197588125039,0.0861248232872584,-34.972215515663,5.95192483770397e-268,1.99929307804177e-265,"TPX2","22974","TPX2, microtubule nucleation factor"
"ENSG00000133318",1500.93856626305,-2.41395392833808,0.0690803672944369,-34.944138586427,1.58954798291564e-267,5.2180525148258e-265,"RTN3","10313","reticulon 3"
"ENSG00000154864",1374.03012588718,2.35792446161712,0.0676974244146943,34.8303422471905,8.44995687917894e-266,2.7122483813969e-263,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.24593840875,1.73290317860892,0.0497662696658519,34.8208372908846,1.17687713716481e-265,3.69539421069751e-263,"SVIL","6840","supervillin"
"ENSG00000182752",6930.46451088618,2.01493235838396,0.0588535267491169,34.2363910827858,6.95318535955487e-257,2.13684700709384e-254,"PAPPA","5069","pappalysin 1"
"ENSG00000198901",744.749048849893,-3.17645757508372,0.0928813664313474,-34.1990831652071,2.4950175368116e-256,7.50792360452225e-254,"PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000277443",2830.14254961524,-1.92965314212708,0.0569342328228266,-33.8926696023456,8.54253914155537e-252,2.51813133389032e-249,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.53017713,1.40995509890116,0.041809564091736,33.7232671406839,2.6365152928869e-249,7.61636537809167e-247,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000146072",1758.24092141737,2.05917235457249,0.0611445382233099,33.677126598815,1.25005191105101e-248,3.54034309867074e-246,"TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000145632",3262.16622917262,1.54681508182839,0.0460359370229116,33.6001650419009,1.66823537672031e-247,4.63384457333619e-245,"PLK2","10769","polo like kinase 2"
"ENSG00000140943",1848.85008291367,-1.89355423503073,0.0564795720008336,-33.5263559540214,1.99102618191229e-246,5.426109843687e-244,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.19774323206,-1.70348233402055,0.0509712084125304,-33.4204816223618,6.91157985026751e-245,1.84871961772711e-242,"PLS3","5358","plastin 3"
"ENSG00000135046",4581.83552080221,-1.46395107570952,0.0439432809043397,-33.3145601689688,2.37627249470358e-243,6.24052362063609e-241,"ANXA1","301","annexin A1"
"ENSG00000081923",1549.03070447063,-2.52982260769684,0.0760226112140478,-33.2772390647556,8.24240112102061e-243,2.1259507462861e-240,"ATP8B1","5205","ATPase phospholipid transporting 8B1"
"ENSG00000163346",2917.80705847637,1.81063137197391,0.0547193553456155,33.0894134358437,4.22012844480764e-240,1.06939535538248e-237,"PBXIP1","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.68161596874,1.72421950188994,0.0522830426026055,32.9785608499384,1.64863532565664e-238,4.10567045582492e-236,"SPRY4","81848","sprouty RTK signaling antagonist 4"
"ENSG00000163017",4893.80182124397,-1.87088791197142,0.0568049757931542,-32.9352822679468,6.87290920624299e-238,1.68258136567752e-235,"ACTG2","72","actin, gamma 2, smooth muscle, enteric"
"ENSG00000152894",4900.88809067164,1.68621206205537,0.0515142426266891,32.7329293041331,5.31249902721019e-235,1.2788955991504e-232,"PTPRK","5796","protein tyrosine phosphatase, receptor type K"
"ENSG00000143341",2279.3546865565,2.05727288510828,0.063011463344734,32.6491843849585,8.22965511721953e-234,1.94867440185441e-231,"HMCN1","83872","hemicentin 1"
"ENSG00000115461",200904.97193308,1.27123933898397,0.0390024818367136,32.5938063199694,5.01969273693002e-233,1.16942648213253e-230,"IGFBP5","3488","insulin like growth factor binding protein 5"
"ENSG00000104321",7567.29398783867,3.29751154570469,0.101232965047435,32.5734956410646,9.7355775818166e-233,2.23207432685332e-230,"TRPA1","8989","transient receptor potential cation channel subfamily A member 1"
"ENSG00000113721",11145.9729739317,1.38872469150159,0.0429042765470898,32.367978282477,7.74966147354623e-230,1.74900172381097e-227,"PDGFRB","5159","platelet derived growth factor receptor beta"
"ENSG00000164924",9585.53192380377,-1.33701132121117,0.0417235115935742,-32.0445540211214,2.6144000059954e-225,5.80959902870733e-223,"YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000173334",1074.48600126381,2.41262693723476,0.075930601091765,31.7741055983346,1.47547679248459e-221,3.22905860464354e-219,"TRIB1","10221","tribbles pseudokinase 1"
"ENSG00000160014",4226.48106143334,-1.42454613958857,0.0449337698324599,-31.7032411235499,1.40181643620978e-220,3.02206516486777e-218,"CALM3","808","calmodulin 3"
